doi,best_oa_evidence,best_oa_host,best_oa_license,best_oa_url,best_oa_url_is_pdf,best_oa_version,data_standard,doi_url,genre,is_oa,is_paratext,journal_is_in_doaj,journal_is_oa,journal_issn_l,journal_issns,journal_name,oa_status,published_date,publisher,OA Status
10.1107/s2053230x18010300,oa repository (via pmcid lookup),repository,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6130428,TRUE,publishedVersion,2,https://doi.org/10.1107/s2053230x18010300,journal-article,TRUE,FALSE,FALSE,FALSE,2053-230X,2053-230X,Acta Crystallographica Section F Structural Biology Communications,green,9/1/2018,International Union of Crystallography (IUCr),Archived manuscript
10.1107/s2056989019003256,oa journal (via doaj),publisher,cc-by,https://journals.iucr.org/e/issues/2019/04/00/su5488/su5488.pdf,TRUE,publishedVersion,2,https://doi.org/10.1107/s2056989019003256,journal-article,TRUE,FALSE,TRUE,TRUE,2056-9890,2056-9890,Acta Crystallographica Section E Crystallographic Communications,gold,3/11/2019,International Union of Crystallography (IUCr),Full OA journal
10.1107/s205698902000732x,oa journal (via doaj),publisher,cc-by,https://doi.org/10.1107/s205698902000732x,TRUE,publishedVersion,2,https://doi.org/10.1107/s205698902000732x,journal-article,TRUE,FALSE,TRUE,TRUE,2056-9890,2056-9890,Acta Crystallographica Section E Crystallographic Communications,gold,6/9/2020,International Union of Crystallography (IUCr),Full OA journal
10.1107/s2056989020009998,oa journal (via doaj),publisher,cc-by,https://journals.iucr.org/e/issues/2020/09/00/zl2782/zl2782.pdf,TRUE,publishedVersion,2,https://doi.org/10.1107/s2056989020009998,journal-article,TRUE,FALSE,TRUE,TRUE,2056-9890,2056-9890,Acta Crystallographica Section E Crystallographic Communications,gold,8/14/2020,International Union of Crystallography (IUCr),Full OA journal
10.1107/s2053230x18018241,oa repository (via pmcid lookup),repository,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6360441,TRUE,publishedVersion,2,https://doi.org/10.1107/s2053230x18018241,journal-article,TRUE,FALSE,FALSE,FALSE,2053-230X,2053-230X,Acta Crystallographica Section F Structural Biology Communications,green,1/24/2019,International Union of Crystallography (IUCr),Archived manuscript
10.1107/s2053230x18016011,oa repository (via pmcid lookup),repository,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6317455,TRUE,publishedVersion,2,https://doi.org/10.1107/s2053230x18016011,journal-article,TRUE,FALSE,FALSE,FALSE,2053-230X,2053-230X,Acta Crystallographica Section F Structural Biology Communications,green,1/1/2019,International Union of Crystallography (IUCr),Archived manuscript
10.1107/s2052520619005419,,,,,FALSE,,2,https://doi.org/10.1107/s2052520619005419,journal-article,FALSE,FALSE,FALSE,FALSE,2052-5192,2052-5206,"Acta Crystallographica Section B Structural Science, Crystal Engineering and Materials",closed,5/25/2019,International Union of Crystallography (IUCr),Closed
10.1107/s2053230x1901224x,oa repository (via pmcid lookup),repository,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6777136,TRUE,publishedVersion,2,https://doi.org/10.1107/s2053230x1901224x,journal-article,TRUE,FALSE,FALSE,FALSE,2053-230X,2053-230X,Acta Crystallographica Section F Structural Biology Communications,green,9/20/2019,International Union of Crystallography (IUCr),Archived manuscript
10.1107/s2053273318091891,open (via free pdf),publisher,,http://journals.iucr.org/a/issues/2018/a2/00/a57438/a57438.pdf,TRUE,publishedVersion,2,https://doi.org/10.1107/s2053273318091891,journal-article,TRUE,FALSE,FALSE,FALSE,2053-2733,2053-2733,Acta Crystallographica Section A Foundations and Advances,bronze,8/22/2018,International Union of Crystallography (IUCr),Free
10.1107/s2053230x19001201,oa repository (via pmcid lookup),repository,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6450521,TRUE,publishedVersion,2,https://doi.org/10.1107/s2053230x19001201,journal-article,TRUE,FALSE,FALSE,FALSE,2053-230X,2053-230X,Acta Crystallographica Section F Structural Biology Communications,green,3/13/2019,International Union of Crystallography (IUCr),Archived manuscript
10.1107/s0108767319097575,open (via free pdf),publisher,,http://journals.iucr.org/a/issues/2019/a1/00/a58042/a58042.pdf,TRUE,publishedVersion,2,https://doi.org/10.1107/s0108767319097575,journal-article,TRUE,FALSE,FALSE,FALSE,2053-2733,2053-2733,Acta Crystallographica Section A Foundations and Advances,bronze,7/20/2019,International Union of Crystallography (IUCr),Free
10.1107/s205698902000674x,oa journal (via doaj),publisher,cc-by,https://journals.iucr.org/e/issues/2020/06/00/yk2130/yk2130.pdf,TRUE,publishedVersion,2,https://doi.org/10.1107/s205698902000674x,journal-article,TRUE,FALSE,TRUE,TRUE,2056-9890,2056-9890,Acta Crystallographica Section E Crystallographic Communications,gold,5/29/2020,International Union of Crystallography (IUCr),Full OA journal
10.1107/s2056989020006295,oa journal (via doaj),publisher,cc-by,https://journals.iucr.org/e/issues/2020/06/00/dj2001/dj2001.pdf,TRUE,publishedVersion,2,https://doi.org/10.1107/s2056989020006295,journal-article,TRUE,FALSE,TRUE,TRUE,2056-9890,2056-9890,Acta Crystallographica Section E Crystallographic Communications,gold,5/19/2020,International Union of Crystallography (IUCr),Full OA journal
10.1029/2019gl085101,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1029/2019gl085101,TRUE,acceptedVersion,2,https://doi.org/10.1029/2019gl085101,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,bronze,2/3/2020,American Geophysical Union (AGU),Archived manuscript
10.1029/2020gl088926,oa repository (via OAI-PMH title and first author match),repository,cc-by,https://escholarship.org/content/qt4dh856qz/qt4dh856qz.pdf?t=r0t7vw,TRUE,publishedVersion,2,https://doi.org/10.1029/2020gl088926,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,green,8/10/2020,American Geophysical Union (AGU),Archived manuscript
10.1029/2018wr024090,oa repository (via OAI-PMH title and first author match),repository,cc-by,https://escholarship.org/content/qt8nb145xd/qt8nb145xd.pdf?t=q6xlqs,TRUE,publishedVersion,2,https://doi.org/10.1029/2018wr024090,journal-article,TRUE,FALSE,FALSE,FALSE,0043-1397,"0043-1397,1944-7973",Water Resources Research,green,3/1/2019,American Geophysical Union (AGU),Archived manuscript
10.1029/2018gl078158,open (via free article),publisher,,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018GL078158,TRUE,publishedVersion,2,https://doi.org/10.1029/2018gl078158,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,bronze,6/5/2018,American Geophysical Union (AGU),Free
10.1029/2020gl088583,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1029/2020gl088583,TRUE,acceptedVersion,2,https://doi.org/10.1029/2020gl088583,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,bronze,8/27/2020,American Geophysical Union (AGU),Archived manuscript
10.1029/2019gl083095,open (via free article),publisher,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2019GL083095,TRUE,publishedVersion,2,https://doi.org/10.1029/2019gl083095,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,bronze,7/8/2019,American Geophysical Union (AGU),Free
10.1029/2018gl077953,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1029/2018gl077953,TRUE,acceptedVersion,2,https://doi.org/10.1029/2018gl077953,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,bronze,9/14/2018,American Geophysical Union (AGU),Archived manuscript
10.1029/2019gl082097,open (via free article),publisher,,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2019GL082097,TRUE,publishedVersion,2,https://doi.org/10.1029/2019gl082097,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,bronze,5/21/2019,American Geophysical Union (AGU),Free
10.1029/2020jd032932,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1029/2020jd032932,TRUE,acceptedVersion,2,https://doi.org/10.1029/2020jd032932,journal-article,TRUE,FALSE,FALSE,FALSE,2169-897X,"2169-897X,2169-8996",Journal of Geophysical Research: Atmospheres,bronze,10/17/2020,American Geophysical Union (AGU),Archived manuscript
10.1029/2020wr027251,oa repository (via OAI-PMH doi match),repository,,https://www.osti.gov/biblio/1801034,TRUE,submittedVersion,2,https://doi.org/10.1029/2020wr027251,journal-article,TRUE,FALSE,FALSE,FALSE,0043-1397,"0043-1397,1944-7973",Water Resources Research,green,7/1/2020,American Geophysical Union (AGU),Archived manuscript
10.1029/2018wr022828,open (via free article),publisher,,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018WR022828,TRUE,publishedVersion,2,https://doi.org/10.1029/2018wr022828,journal-article,TRUE,FALSE,FALSE,FALSE,0043-1397,"0043-1397,1944-7973",Water Resources Research,bronze,7/1/2018,American Geophysical Union (AGU),Free
10.1107/s0108767319097356,open (via free pdf),publisher,,http://journals.iucr.org/a/issues/2019/a1/00/a58064/a58064.pdf,TRUE,publishedVersion,2,https://doi.org/10.1107/s0108767319097356,journal-article,TRUE,FALSE,FALSE,FALSE,2053-2733,2053-2733,Acta Crystallographica Section A Foundations and Advances,bronze,7/20/2019,International Union of Crystallography (IUCr),Free
10.1029/2020gl087933,oa repository (via OAI-PMH title and first author match),repository,cc-by,https://escholarship.org/content/qt5592n56c/qt5592n56c.pdf?t=r0t7zt,TRUE,publishedVersion,2,https://doi.org/10.1029/2020gl087933,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,green,6/13/2020,American Geophysical Union (AGU),Archived manuscript
10.1029/2018gl077664,open (via free article),publisher,,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018GL077664,TRUE,publishedVersion,2,https://doi.org/10.1029/2018gl077664,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,bronze,7/7/2018,American Geophysical Union (AGU),Free
10.1029/2020gl087644,oa repository (via OAI-PMH title and first author match),repository,cc-by,https://escholarship.org/content/qt78q9413j/qt78q9413j.pdf?t=r0t7z4,TRUE,publishedVersion,2,https://doi.org/10.1029/2020gl087644,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,green,6/24/2020,American Geophysical Union (AGU),Archived manuscript
10.1029/2018wr024287,,,,,FALSE,,2,https://doi.org/10.1029/2018wr024287,journal-article,FALSE,FALSE,FALSE,FALSE,0043-1397,"0043-1397,1944-7973",Water Resources Research,closed,5/1/2019,American Geophysical Union (AGU),Closed
10.1029/2018gl079865,open (via free article),publisher,,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018GL079865,TRUE,publishedVersion,2,https://doi.org/10.1029/2018gl079865,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,bronze,12/2/2018,American Geophysical Union (AGU),Free
10.1029/2018gl078676,open (via free article),publisher,,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018GL078676,TRUE,publishedVersion,2,https://doi.org/10.1029/2018gl078676,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,bronze,8/28/2018,American Geophysical Union (AGU),Free
10.1002/2017gb005788,oa repository (via OAI-PMH doi match),repository,,https://www.osti.gov/biblio/1537296,TRUE,submittedVersion,2,https://doi.org/10.1002/2017gb005788,journal-article,TRUE,FALSE,FALSE,FALSE,0886-6236,0886-6236,Global Biogeochemical Cycles,green,4/1/2018,American Geophysical Union (AGU),Archived manuscript
10.1002/2017rg000574,open (via crossref license),publisher,cc-by-nc-nd,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2017RG000574,TRUE,publishedVersion,2,https://doi.org/10.1002/2017rg000574,journal-article,TRUE,FALSE,FALSE,FALSE,1944-9208,"8755-1209,1944-9208",Reviews of Geophysics,hybrid,1/5/2018,American Geophysical Union (AGU),Hybrid OA
10.1029/2018gb006088,open (via free article),publisher,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018GB006088,TRUE,publishedVersion,2,https://doi.org/10.1029/2018gb006088,journal-article,TRUE,FALSE,FALSE,FALSE,0886-6236,"0886-6236,1944-9224",Global Biogeochemical Cycles,bronze,8/1/2019,American Geophysical Union (AGU),Free
10.1002/2017ef000709,oa journal (via doaj),publisher,cc-by-nc-nd,https://doi.org/10.1002/2017ef000709,TRUE,publishedVersion,2,https://doi.org/10.1002/2017ef000709,journal-article,TRUE,FALSE,TRUE,TRUE,2328-4277,"2328-4277,2328-4277",Earth's Future,gold,1/1/2018,American Geophysical Union (AGU),Full OA journal
10.1029/2019gl082463,open (via free article),publisher,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2019GL082463,TRUE,publishedVersion,2,https://doi.org/10.1029/2019gl082463,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,bronze,8/12/2019,American Geophysical Union (AGU),Free
10.1029/2018wr023355,open (via free article),publisher,,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018WR023355,TRUE,publishedVersion,2,https://doi.org/10.1029/2018wr023355,journal-article,TRUE,FALSE,FALSE,FALSE,0043-1397,"0043-1397,1944-7973",Water Resources Research,bronze,12/1/2018,American Geophysical Union (AGU),Free
10.1029/2018ms001301,oa journal (via doaj),publisher,cc-by-nc-nd,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018MS001301,TRUE,publishedVersion,2,https://doi.org/10.1029/2018ms001301,journal-article,TRUE,FALSE,TRUE,TRUE,1942-2466,"1942-2466,1942-2466",Journal of Advances in Modeling Earth Systems,gold,10/1/2018,American Geophysical Union (AGU),Full OA journal
10.1029/2018gb005950,open (via crossref license),publisher,cc-by-nc-nd,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018GB005950,TRUE,publishedVersion,2,https://doi.org/10.1029/2018gb005950,journal-article,TRUE,FALSE,FALSE,FALSE,0886-6236,0886-6236,Global Biogeochemical Cycles,hybrid,10/1/2018,American Geophysical Union (AGU),Hybrid OA
10.1029/2020jg005693,,,,,FALSE,,2,https://doi.org/10.1029/2020jg005693,journal-article,FALSE,FALSE,FALSE,FALSE,2169-8953,"2169-8953,2169-8961",Journal of Geophysical Research: Biogeosciences,closed,12/1/2020,American Geophysical Union (AGU),Closed
10.1029/2018gl081888,oa repository (via OAI-PMH title and first author match),repository,,https://scholarworks.boisestate.edu/cgi/viewcontent.cgi?article=1135&context=civileng_facpubs,TRUE,publishedVersion,2,https://doi.org/10.1029/2018gl081888,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,green,2/25/2019,American Geophysical Union (AGU),Archived manuscript
10.1029/2020jd033425,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1029/2020jd033425,TRUE,acceptedVersion,2,https://doi.org/10.1029/2020jd033425,journal-article,TRUE,FALSE,FALSE,FALSE,2169-897X,"2169-897X,2169-8996",Journal of Geophysical Research: Atmospheres,bronze,11/17/2020,American Geophysical Union (AGU),Archived manuscript
10.1002/2017jg003836,open (via free article),publisher,,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2017JG003836,TRUE,publishedVersion,2,https://doi.org/10.1002/2017jg003836,journal-article,TRUE,FALSE,FALSE,FALSE,2169-8953,"2169-8953,2169-8961",Journal of Geophysical Research: Biogeosciences,bronze,1/1/2018,American Geophysical Union (AGU),Free
10.1029/2020jd033125,,,,,FALSE,,2,https://doi.org/10.1029/2020jd033125,journal-article,FALSE,FALSE,FALSE,FALSE,2169-897X,"2169-897X,2169-8996",Journal of Geophysical Research: Atmospheres,closed,12/5/2020,American Geophysical Union (AGU),Closed
10.1002/2017ms001176,oa journal (via doaj),publisher,cc-by-nc-nd,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2017MS001176,TRUE,publishedVersion,2,https://doi.org/10.1002/2017ms001176,journal-article,TRUE,FALSE,TRUE,TRUE,1942-2466,"1942-2466,1942-2466",Journal of Advances in Modeling Earth Systems,gold,1/1/2018,American Geophysical Union (AGU),Full OA journal
10.1029/2018gl078173,open (via free article),publisher,,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018GL078173,TRUE,publishedVersion,2,https://doi.org/10.1029/2018gl078173,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,bronze,7/25/2018,American Geophysical Union (AGU),Free
10.1029/2020jb020115,open (via crossref license),publisher,cc-by-nc,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2020JB020115,TRUE,publishedVersion,2,https://doi.org/10.1029/2020jb020115,journal-article,TRUE,FALSE,FALSE,FALSE,2169-9313,"2169-9313,2169-9356",Journal of Geophysical Research: Solid Earth,hybrid,8/1/2020,American Geophysical Union (AGU),Hybrid OA
10.1029/2018ef001026,oa journal (via doaj),publisher,cc-by-nc-nd,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018EF001026,TRUE,publishedVersion,2,https://doi.org/10.1029/2018ef001026,journal-article,TRUE,FALSE,TRUE,TRUE,2328-4277,"2328-4277,2328-4277",Earth's Future,gold,4/1/2019,American Geophysical Union (AGU),Full OA journal
10.1029/2018jg004795,open (via free article),publisher,pd,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018JG004795,TRUE,publishedVersion,2,https://doi.org/10.1029/2018jg004795,journal-article,TRUE,FALSE,FALSE,FALSE,2169-8953,"2169-8953,2169-8961",Journal of Geophysical Research: Biogeosciences,hybrid,5/1/2019,American Geophysical Union (AGU),Free
10.1029/2019gl086821,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1029/2019gl086821,TRUE,acceptedVersion,2,https://doi.org/10.1029/2019gl086821,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,bronze,4/29/2020,American Geophysical Union (AGU),Archived manuscript
10.1029/2020jc016543,oa repository (via OAI-PMH doi match),repository,,https://darchive.mblwhoilibrary.org/bitstream/1912/26877/1/2020JC016543.pdf,TRUE,publishedVersion,2,https://doi.org/10.1029/2020jc016543,journal-article,TRUE,FALSE,FALSE,FALSE,2169-9275,"2169-9275,2169-9291",Journal of Geophysical Research: Oceans,green,12/1/2020,American Geophysical Union (AGU),Archived manuscript
10.1029/2018jd028540,open (via free article),publisher,,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018JD028540,TRUE,publishedVersion,2,https://doi.org/10.1029/2018jd028540,journal-article,TRUE,FALSE,FALSE,FALSE,2169-897X,"2169-897X,2169-8996",Journal of Geophysical Research: Atmospheres,bronze,10/18/2018,American Geophysical Union (AGU),Free
10.1029/2018wr022732,open (via free article),publisher,,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018WR022732,TRUE,publishedVersion,2,https://doi.org/10.1029/2018wr022732,journal-article,TRUE,FALSE,FALSE,FALSE,0043-1397,"0043-1397,1944-7973",Water Resources Research,bronze,9/1/2018,American Geophysical Union (AGU),Free
10.1029/2020gl087876,open (via crossref license),publisher,cc-by,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2020GL087876,TRUE,publishedVersion,2,https://doi.org/10.1029/2020gl087876,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,hybrid,7/28/2020,American Geophysical Union (AGU),Hybrid OA
10.1029/2019gl084665,oa repository (via OAI-PMH title and first author match),repository,cc-by,https://escholarship.org/content/qt7sm4f4gt/qt7sm4f4gt.pdf?t=q10i9f,TRUE,publishedVersion,2,https://doi.org/10.1029/2019gl084665,journal-article,TRUE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,green,12/10/2019,American Geophysical Union (AGU),Archived manuscript
10.1002/2017ms001185,oa journal (via doaj),publisher,cc-by-nc-nd,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2017MS001185,TRUE,publishedVersion,2,https://doi.org/10.1002/2017ms001185,journal-article,TRUE,FALSE,TRUE,TRUE,1942-2466,"1942-2466,1942-2466",Journal of Advances in Modeling Earth Systems,gold,2/1/2018,American Geophysical Union (AGU),Full OA journal
10.1029/2019wr025116,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1029/2019wr025116,TRUE,acceptedVersion,2,https://doi.org/10.1029/2019wr025116,journal-article,TRUE,FALSE,FALSE,FALSE,0043-1397,"0043-1397,1944-7973",Water Resources Research,bronze,1/1/2020,American Geophysical Union (AGU),Archived manuscript
10.1029/2020ms002092,oa journal (via doaj),publisher,cc-by-nc,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2020MS002092,TRUE,publishedVersion,2,https://doi.org/10.1029/2020ms002092,journal-article,TRUE,FALSE,TRUE,TRUE,1942-2466,"1942-2466,1942-2466",Journal of Advances in Modeling Earth Systems,gold,10/1/2020,American Geophysical Union (AGU),Full OA journal
10.1029/2019gl084066,,,,,FALSE,,2,https://doi.org/10.1029/2019gl084066,journal-article,FALSE,FALSE,FALSE,FALSE,0094-8276,"0094-8276,1944-8007",Geophysical Research Letters,closed,12/18/2019,American Geophysical Union (AGU),Closed
10.1029/2019gb006460,"open (via crossref license, author manuscript)",publisher,"publisher-specific, author manuscript: http://onlinelibrary.wiley.com/termsAndConditions#am",https://rss.onlinelibrary.wiley.com/doi/am-pdf/10.1029/2019gb006460,TRUE,acceptedVersion,2,https://doi.org/10.1029/2019gb006460,journal-article,TRUE,FALSE,FALSE,FALSE,0886-6236,"0886-6236,1944-9224",Global Biogeochemical Cycles,bronze,12/1/2019,American Geophysical Union (AGU),Archived manuscript
